Wed Jan 18 11:49:05 2023    profile.dat

         3124711 function calls (3050196 primitive calls) in 1.093 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3651    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/_utils.py:516(_is_missing_literal)
     1993    0.001    0.000    0.002    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/dictconfig.py:274(_validate_and_normalize_key)
      173    0.001    0.000    0.010    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/atn/LexerATNSimulator.py:259(getReachableConfigSet)
     4021    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:191(isclass)
     1066    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/datasets/features/features.py:1009(int2str)
     1066    0.001    0.000    0.001    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      357    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     1994    0.001    0.000    0.002    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/dfa/DFAState.py:106(__eq__)
2659/2656    0.001    0.000    0.016    0.000 {built-in method builtins.next}
     6499    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
5767/5541    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     1066    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/data_types/_dtypes.py:601(__init__)
     1181    0.001    0.000    0.002    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/IntervalSet.py:89(__contains__)
     1711    0.001    0.000    0.002    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/atn/ATNConfigSet.py:138(__eq__)
     1066    0.001    0.000    0.015    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/integration_utils/data_logging.py:418(<dictcomp>)
